STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,WESF,WESF_ATTRIBUTES
US1NCBC0087,9/6/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,9/7/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",23,",,N",,,,,,,,,,
US1NCBC0087,9/8/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",500,",,N",,,,,,,,,,
US1NCBC0087,9/9/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,9/10/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,9/11/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,9/12/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",99,",,N",,,,,,,,,,
US1NCBC0087,9/13/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",23,",,N",,,,,,,,,,
US1NCBC0087,9/14/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",8,",,N",,,,,,,,,,
US1NCBC0087,9/16/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",86,",,N",,
US1NCBC0087,9/17/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,9/18/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,9/19/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,9/24/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,5,",,N",58,",,N",,
US1NCBC0087,9/25/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",64,",,N",,,,,,,,,,
US1NCBC0087,9/26/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",10,",,N",,,,,,,,,,
US1NCBC0087,9/28/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,9/30/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",48,",,N",0,",,N",,,,,,,,
US1NCBC0087,10/2/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",3,",,N",,
US1NCBC0087,10/4/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",130,",,N",,
US1NCBC0087,10/6/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",5,",,N",,
US1NCBC0087,10/8/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",102,",,N",,
US1NCBC0087,10/11/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",13,",,N",,
US1NCBC0087,10/13/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",196,",,N",,
US1NCBC0087,10/14/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",38,",,N",,,,,,,,,,
US1NCBC0087,10/15/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",980,",,N",,,,,,,,,,
